id_lex	type	trans	ortho	\ph	\src
804	\ald	, dhɔ́ɔkwádhɤ̄	, 'dhɔɔkwadhö		LJ
810	\al	, dhó	, 'dho		
813	\al	, dhóʌ̏	, 'dhoë-		
816	\ald	dhɤ́ɯ̏dhɤɯ	'dhöüdhöü		BE, LJ (dh, ka)
822	\al	, dhúaan dhȕan	, 'nuaa -nua		
822	\al	, dhúadhȕan	, 'nua -nua		
826	\al	, dhūɛnzʌ̏	, nuɛzë		
840	\al	, dhȕutīi	, -dhuutii		LJ, BE, RC
854	\al	, dhán	, 'na		
856	\al	, ē	, e		
856	\al	, ȅ	, -e		
856	\al	, ɛ̀	, =ɛ		
856	\al	, ɛ̏	, -ɛ		
856	\al	, ɛ̄	, ɛ		
857	\al	, ɛ̏	, -ɛ		
857	\al	, ɛ̄	, ɛ		
858	\al	, ɛ̀ɛ	, =ɛɛ		
864	\al	, fàan	, =faan'-		
881	\al	, fíŋ	, 'fing		
881	\al	, fɛ́ŋ	, 'fɛnng		
881	\ald	, fɛ́n	, 'fɛn		
881	\ald	, flɛ́n	, 'flɛn (wo)		
883	\al	, flɛ̏ɛn	, -flɛɛn		
893	\al	, flíin	, 'fliin		
893	\al	, flíŋ	, 'fling		
893	\ald	, flɛ́ŋ	, 'flɛnng		
897	\al	, flù flû			
903	\al	, fɤ̄ɤdhɛ̏	, föödhɛ		LJ
904	\al	, fɤ́ɤfɤ̏	, 'fööfö		
924	\al	, gʌ̄ɯpȉʌklú	, gëüpiëklu		
926	\al	, gʌ́n	, 'gën		
931	\al	, gèan	, =gean		LJ
931	\ald	gìan	=gian		LJ - dh
936	\al	, gíin	, 'giin		DJ, LJ
936	\al	, gíŋ	, 'ging		
936	\ald	glɛ́ɛn	'glɛɛn (wo)		
957	\al	, gíŋzʌ̏	, 'gingzë		LJ
980	\al	, glɔ̄ndʌ̄	, glɔndë		
993	\al	, glúu	, 'gluu		
995	\al	, glȕbhadháâpʌ̏	, -glubhadhaapë		DJ, --LJ
1002	\al	, glȕgɔ̄ɔbhɛ̏n	, -glugɔɔnmɛ		GJ
1033	\al	, gɔ̏gȁ	, -gɔga		LJ, DJ
1036	\al	, gɔ̏ɔn	, -gɔɔn		LJ
1069	\al	, gȕun	, -guun		MB, LJ
1070	\al	, gùŋzȉʌbhɛ̏n	, =gungziëmɛ		
1072	\ald	, gùʌ̄	, =guë'		
1080	\al	, gùūn	, =guun'		
1080	\al	, gún	, 'gun		
1080	\al	, gùn	, =gun		
1083	\al	, gɯ́ʌgā	, 'güëga		BE, LJ
1096	\al	, glɯ́ɯzʌ̏	, 'glüüzë		
1098	\al	, gbā	, gba		
1098	\al	, gbȁ	, -gba		
1131	\al	, gbāŋkɔ̏	, gbangkɔ		LJ
1136	\al	, gbɒ̏ɒnsɯ̏	, -gbaɔnsü		RC1, SB, --LJ
1141	\al	, gbá	, 'gba		
1142	\al	, gbʌ̀ŋ̄	, =gbëng'		
1142	\al	, gbʌ̄ŋ̏	, gbënng-		
1155	\ald	, gbȅi	, -gbei (k, dh)		
1156	\al	, gbēiŋ	, gbeing		LJ
1161	\al	, gbía	, 'gbia		
1164	\al	, gbìin	, =gbiin		
1164	\al	, gbɛ̀in	, =gbɛin		
1164	\al	, gbɛ̀ɛŋ	, =gbɛɛng		
1164	\al	, gbìiŋ	, =gbiing		
1164	\al	, gbɛ̀iŋ	, =gbɛing		
1165	\al	, gbìin	, =gbiin		
1165	\al	, gbɛ̀in	, =gbɛin		
1165	\al	, gbɛ̀ɛŋ	, =gbɛɛng		
1165	\al	, gbìiŋ	, =gbiing		
1165	\al	, gbɛ̀iŋ	, =gbɛing		
1174	\al	gbíîn	, 'gbiin-		
1174	\ald	, gbíŋ̂	, 'gbinng-		--LJ
1177	\ald	gbìɤ	=gbiö		MG, LJ
1180	\al	, gblàagblá	, =gblaagbla		OD, LJ
1187	\al	, gblʌ̀ʌ̏n	, =gblëën-		
1188	\al	, gblɛ̄ibȉzʌ̏	, gblɛibizë		
1193	\al	, gblōŋ	, gblong		
1195	\al	, gblɔ̏dhēsʌ̄n	, -gblɔdhesën		
1199	\al	, gblɯ́bhàā	, 'gblübhaa		DJ, LJ
1201	\al	, gblɯ̏ɯn	, -gblüün		
1222	\al	, gbɔ̀ŋ̄	, =gbɔng'		
1230	\al	, gbɤ̀ŋ	, =gböng		
1231	\al	, gbȍa	, -gboa		
1236	\ald	, gwàa	, =gwaa (wi)		
1237	\al	, gwȁ	, -gwa		
1244	\al	, gwɛ̄ɛ {lɯ̂}	, gwɛɛ- {-lü}		LJ
1244	\ald	, gwɛ̄	, gwɛ		LJ -- dh
1246	\al	, ī	, i		
1246	\al	, ȉ	, -i		
1249	\al	, íin	, 'iin		
1261	\al	, kàa	, =kaa'-		
1263	\al	, kāká	, kaka		
1295	\al	, kʌ̏ŋ	, -kënng		
1297	\al	, kʌ̀ŋ̄	, =kënng'		
1306	\al	, kèȅ	, =kee-		
1339	\al	, klɒ́ɒŋ	, 'klaɔng		
1345	\al	, klʌ́ʌn	, 'klëën		
1352	\ald	, klòŋ̄	, =klong' (wo)		
1354	\ald	, klùa	, =klua		LJ (wo)
1359	\al	, klɤ̏ɤ	, -klöö		
1363	\ald	, klɤ̀ɤ	, =klöö'-		LJ - wa, wo
1364	\ald	, klɤ̀ɤ	, =klöö'-		LJ - wa, wo
1370	\al	, kȕlȕ	, -kulu		
1387	\al	, kōká	, koka		LJ
1389	\al	, kwʌ̄ʌ̏	, kwëë-		
1393	\al	, kóʌ	, 'koë		
1394	\al	, kóʌ̏n	, 'koën-		
1399	\al	, kòo	, =koo		
1415	\al	, kɔ̏dhɛ̄	, -kɔ dhɛ		
1427	\al	, kɔ̏lɤ̀ɤbhɛ̏n	, -kɔlöömɛ		RC
1445	\al	, klūʌdhūn	, kluënnu		LJ
1446	\al	, kɔ́bhádhán	, 'kɔnmana		
1453	\al	, kȕɤ	, -kuö		
1484	\al	, kpæ̀æ	, =kpɛa'-		
1485	\ald	, kpía	, 'kpia		LJdh
1490	\al	, kpʌ̀ŋ	, =kpënng		
1502	\al	, kpēiŋdhɤ	, kpeingdhö		LJ
1502	\al	, kpīŋdhɤ	, kpingdhö		
1508	\al	, kpɛ́ɛkpɛ́	, 'kpɛɛkpɛ		LJ
1514	\al	, kpìān kpìān dhɤ̄	, =kpiankpiandhö		
1514	\al	, kpɛ́ȁnkpɛ́ȁdhɤ̄n	, 'kpɛankpɛandhö		
1514	\al	, kpɛ̀ānkpɛ̀ādhɤn	=kpɛankpɛandhö		LJ
1521	\al	, kpȉŋgā	, -kpingga		
1521	\al	, kpȉŋgā	, -kpinngga		--LJ
1521	\ald	, kplȉn gā	, -kplin ga (wo)		
1526	\al	, kpȉŋ	, -kping		
1526	\al	, kpȉin	, -kpiin		
1526	\al	, kpȉiŋ	, -kpiing		
1526	\ald	, kplȉin	, -kpliin		
1526	\ald	, kplȉŋ	, -kpling		
1535	\al	, kplàwō	, =kplawo		LJ
1541	\al	, kplóo	, 'kploo		
1552	\al	, kplɤ	, kplö-		
1581	\al	, kpɔ̄ngɔ̄	, kpɔn gɔ		
1584	\al	, kpɔ̀ɔ	, =kpɔɔ		
1586	\al	, kpɔ̀ɔ̏ yīʌ	, =kpɔɔ- yië		
1593	\ald	, kpɤ́ɤ	, 'kpöö		LJ(dh)
1614	\al	, kwāká	, kwaka		
1619	\al	, kwàbhɛ̏n	, =kwanmɛ		
1627	\al	, kwāŋ {kwā}-dhȕn	, kwang {kwa}-nu		
1630	\al	, kwɛ́ɛ̂dhɛ̏n	, 'kwɛɛndhɛ		
1637	\al	, kwɛ̀ŋ	, =kwɛng		
1637	\ald	kwɛ̀	=kwɛ (dh)		
1639	\al	, kwlɛ̀ɛ̏	, =kwlɛɛ-		
1641	\al	, kw̄̀̄̀	, =kwɛa		GJ, OD, LJ
1642	\al	, kw̄̀̄̀	, =kwɛa		
1648	\al	, kwɛ́ɛ	, 'kwɛɛ		
1649	\al	, kwɛ́i yāan	, 'kwɛi yaan-		
1656	\al	, kwíʌ̂ bhɔ̏n	, 'kwië- -mɔ		
1668	\al	, làŋbáâ	, =langbaa		GJ, LJ
1670	\al	, làkélé	, =lakele		
1673	\al	, lāŋ	, lang-		
1684	\al	, lʌ́ʌlʌ̄	, 'lëëlë		LJ
1684	\al	, lʌ́ʌlʌ̏	, 'lëëlë		OD, LJ
1689	\al	, lʌ̄ŋ	, lënng-		
1689	\al	, lʌ̄ŋ	, lënng		
1692	\al	, lʌ̄ŋ	, lënng		
1699	\al	, lō	, lo		
1712	\al	, lɔ̀ɔ̏zʌ̏	=lɔɔzë		LJ
1722	\al	, lɤ́ɤlɤ̏	, 'löölö		LJ
1722	\ald	, lɤ́ŋlɤ̏	, 'lönglö		LP
1746	\al	, yɤ̄	, yö		
1833	\al	, pȉa	, -pia		
1835	\al	, pīan	, pian		MB
1841	\al	, plʌ̀ʌ̄zʌ̏	, =plëëzë		LJ, DJ, GJ, OD, RC
1850	\al	, plɔ̏ɔ	, -plɔɔ		LJ
1878	\al	, pȕʌn	, -puën		
1891	\al	, sàa	, =saa'-		
1905	\al	, sàkpá	, =sakpa		
1931	\al	, sʌ́ŋ	, 'sëng		
1933	\ald	sʌ́ŋgɤ̏	'sëng -gö (dh)		
1936	\al	, sɤ̄i	, söi		
1936	\al	, sɤ̄yí	, söyi		LJ
1937	\al	, séŋdhɤ̄	, 'senngdhö		
1937	\al	, sɛ́ŋdhɤ̄	, 'sɛnngdhö		GJ, --LJ
1938	\al	, sɛ̏nsɛ̏dhɤ̄n	, -sɛnsɛndhö		LJ
1947	\al	, sɛ̀ɛ	, =sɛɛ'-		
1963	\ald	, séisīʌ	, 'seisië		
1978	\al	, sɛ̀a	, =sɛa		
1995	\al	, sìɤ̄	, =siö'		
1995	\ald	, sìɤ	, =siö (wo)		
1997	\al	, síɤɤ̂	, 'siöö-		LJ, LP
2005	\al	, síɤ̂sīɤ	, 'siösiö		DJ, LJ
2012	\al	, slʌ̏	, -slë		
2016	\al	, slàŋsláa	, =slangslaa		LJ
2028	\ald	, slʌ́ɯdhɤ̄	, 'slëüdhö		
2048	\al	, slɯ́ɯ	, 'slüü		
2078	\al	, sɔ̀ɔ̄n	, =sɔɔn'		GJ, LJ
2085	\al	, sɔ̀n	, =sɔn		
2095	\al	, sɤ̄yí	, söyi		
2097	\ald	sɤ̀ŋgɤ	=sönggö (dh)		
2102	\al	, sòa	, =soa		
2102	\al	, sɔ̀a	, =sɔa		
2104	\al	, sùabhɛ̏n	, =suamɛ		LJ
2107	\al	, súbhōyɛ̏agɯ́	, 'subhoyɛagü		LJ
2107	\al	, súbhōyɛ̏a	, 'subhoyɛa		YA. SE, --LJ
2120	\al	, sùutȁ	, =suuta		LJ
2127	\al	, sɯ́-dhúu	, 'sü 'dhuu		
2175	\al	, tʌ̏ngʌ̏	, -tëngë		
2183	\ald	, slɯ́	, 'slü (wo)		
2194	\al	, tɛ̄nyī	, tɛnyi		LJ
2208	\al	, tíinyùābhɛ̏n	, 'tiinyuamɛ		
2209	\al	, tíiŋ	, 'tiing		
2223	\al	, tódhiɤdhɛ̏	, 'to 'dhiö -dhɛ		LJ
2232	\al	, tōokɔ́	, too 'kɔ		
2244	\al	, tɔ̏gɔ̄n	, -tɔgɔn		OD
2252	\al	, tɔ́bhán	, 'tɔma		LJ
