lex	Str	vowels
dhēglúgɔ̄ɔ̏n	CVCCVCVVC	euɔɔ
dhēglúgɔ̄ɔ̏nzʌ̏	CVCCVCVVCCV̈	euɔɔë
dhēglúzʌ̏	CVCCVCV̈	euë
dhēgɔ̄n	CVCVC	eɔ
dhèī	CVV	ei
dhéi	CVV	ei
dhēklɤ̀ɤ	CVCCV̈V̈	eöö
dhēkpɔ́dhȅ	CVCCVCV	eɔe
dhēpʌ̄	CVCV̈	eë
dhēsɯ́gɔ̄ɔ̏n	CVCV̈CVVC	eüɔɔ
dhɛ̏	CV	ɛ
dhɛ̏	CV	ɛ
dhɛ̏	CV	ɛ
-dhɛ̏	CV	ɛ
-dhɛ̏	CV	ɛ
-dhɛ̏	CV	ɛ
dhɛ̀	CV	ɛ
dhɛ̄	CV	ɛ
dhɛ́	CV	ɛ
dhɛ́	CV	ɛ
dhɛ̏adhíɤ	CVVCVV̈	ɛaiö
dhɛ̏adhíɤ	CVVCVV̈	ɛaiö
dhɛ̏bíʌ̏dhɛn	CVCVV̈CCV	ɛiëɛ
dhɛ̏bōsɯ̏	CVCVCV̈	ɛoü
dhɛ́dhɛ́n	CVCV	ɛɛ
dhɛ́dhɛ́n yúa	CVCV CVV	ɛɛ ua
dhɛ̀ɛ	CVV	ɛɛ
dhɛ̀ɛ̄	CVV	ɛɛ
dhɛ̀ɛ̄dhɛ̏	CVVCV	ɛɛɛ
dhɛ́ɛdhɛ̏	CVVCV	ɛɛɛ
dhɛ̀ɛdhɛ́n	CVVCV	ɛɛɛ
dhɛ́ɛdhɤ̄	CVVCV̈	ɛɛö
dhɛ̏ɛn	CVV	ɛɛ
dhɛ̀ɛn	CVV	ɛɛ
dhɛ̀ɛ̏n	CVV	ɛɛ
dhɛ̄ɛ̂n	CVV	ɛɛ
dhɛ̄ɛ̂n gɔ̄ŋ	CVV CVCC	ɛɛ ɔ
dhɛ̀ɛ̏ngā	CVVCV	ɛɛa
dhɛ́gā	CVCV	ɛa
dhɛ̏gȁkɔ̏	CVCVCV	ɛaɔ
dhɛ̏gȁyȁn	CVCVCVC	ɛaa
dhɛ̏glōodhɛ̏	CVCCVVCV	ɛooɛ
dhɛ̏gȍpȉʌ	CVCVCVV̈	ɛoië
dhɛ̏kpɒ̀ɒdhíɤ	CVCCVVCVV̈	ɛaɔiö
dhɛ̏kpɒ̀ɒyȉ	CVCCVVCV	ɛaɔi
dhɛ̏lʌ́ʌ	CVCV̈V̈	ɛëë
dhɛ̀n	CV	ɛ
dhɛ̄n	CV	ɛ
dhɛ̂n	CV	ɛ
dhɛ̂ngā	CVCV	ɛa
dhɛ́ŋ	CVCC	ɛ
dhɛ̏pʌ́ʌ̏dhɛ	CVCV̈V̈CV	ɛëëɛ
dhɛ̏púu	CVCVV	ɛuu
dhɛ̏tīi	CVCVV	ɛii
dhɛ̏tīidhɛ̏	CVCVVCV	ɛiiɛ
dhɛ̏yàāpʌ̏	CVCVVCV̈	ɛaaë
dhɛ̏yȁbhɛ̏n	CVCVCV	ɛaɛ
dhȉ	CV	i
dhī	CV	i
dhī	CV	i
dhí	CV	i
dhìa	CVV	ia
dhìa	CVV	ia
dhìā	CVV	ia
dhía	CVV	ia
dhíȁan	CVVV	iaa
dhīadhīan	CVVCVV	iaia
dhȉan	CVV	ia
dhìɒɒbhɛ̏n	CVVVCCV	iaɔɛ
dhìʌ̄	CVV̈	ië
dhìʌ̄bhɛ̏n	CVV̈CV	iëɛ
dhìʌdhíʌn	CVV̈CVV̈	iëië
dhìʌn	CVV̈	ië
dhìʌ̂n	CVV̈	ië
dhíʌŋ	CVV̈CC	ië
dhȉdháa	CVCVV	iaa
dhȉdháakʌ̄bhɛ̏n	CVCVVCV̈CV	iaaëɛ
dhídhȁan	CVCVV	iaa
dhídhȁanzʌ̏	CVCVVCV̈	iaaë
dhȉdháapʌ̏	CVCVVCV̈	iaaë
dhīdhe	CVCV	ie
dhȉi	CVV	ii
dhìī	CVV	ii
dhìībɔ̏{-dhȕ}n	CVVCV {CV}	iiɔ {u}
dhȉin	CVV	ii
dhìin	CVV	ii
dhīin	CVV	ii
dhȉin kláŋ	CVV CCVCC	ii a
dhȉizʌ̏	CVVCV̈	iië
dhíkábhɛ̏n	CVCVCCV	iaɛ
dhȉkúʌdhē	CVCVV̈CV	iuëe
dhīŋ	CVCC	i
dhȉo	CVV	io
dhìɔ̄	CVV	iɔ
dhíɔ̈n	CVV?	iɔ?
dhȉɤ	CVV̈	iö
dhíɤ	CVV̈	iö
dhíɤ	CVV̈	iö
dhíɤ	CVV̈	iö
dhíɤ̏	CVV̈	iö
dhíɤ-bɔ̄	CVV̈ CV	iö ɔ
dhíɤ̏dhɛ	CVV̈CV	iöɛ
dhíɤ-gán	CVV̈ CVC	iö a
dhȉɤɤ	CVV̈V̈	iöö
dhíɤ-sɯ́	CVV̈ CV̈	iö ü
dhíɤtó	CVV̈CV	iöo
dhíɤ-tó	CVV̈ CV	iö o
dhíɤtódhɛ̏	CVV̈CVCV	iöoɛ
dhȉɤyí	CVV̈CV	iöi
dhíɤzʌ̏	CVV̈CV̈	iöë
dhó	CV	o
dhóʌ̏	CVV̈	oë
dhódhón	CVCV	oo
dhȍdhɔ́ɔpíɤsɯ̏zʌ̏	CVCVVCVV̈CV̈CV̈	oɔɔiöüë
dhōɛ́nlɤ̏	CVVCV̈	oɛö
dhȍkúʌ̏sɯ̏	CVCVV̈CV̈	ouëü
dhóŋbho	CVCCCV	oo
dhȍŋdho	CVCCCV	oo
dhōŋzʌ̄bhɛ̏ɛn	CVCCCV̈CVV	oëɛɛ
dhòŋ̂	CVCC	o
dhòo	CVV	oo
dhòō	CVV	oo
dhóo	CVV	oo
dhóȍ	CVV	oo
dhòobɔ̏{-dhȕ}n	CVVCV {CV}	ooɔ {u}
dhōo-dhȕn	CVVCV	oou
dhɔ̏	CV	ɔ
dhɔ́	CV	ɔ
dhɔ̏dhɔ̏n	CVCV	ɔɔ
dhɔ́dhɔ́n	CVCV	ɔɔ
dhɔ̏kàā	CVCVV	ɔaa
dhɔ̀n	CV	ɔ
dhɔ̄n	CV	ɔ
dhɔ̀ŋ	CVCC	ɔ
dhɔ̀ŋ̄	CVCC	ɔ
dhɔ̀ŋtrɔ̄ɔ̏	CVCCCCVV	ɔɔɔ
dhɔ̀ŋtrɔ̄ɔ̏plɤ̀ɤ	CVCCCCVVCCV̈V̈	ɔɔɔöö
dhɔ̀ɔ	CVV	ɔɔ
dhɔ̀ɔ̄	CVV	ɔɔ
dhɔ́ɔ	CVV	ɔɔ
dhɔ́ɔ	CVV	ɔɔ
dhɔ̀ɔ̄bhàa	CVVCVV	ɔɔaa
dhɔ̀ɔ̄bhàadhʌ̏n	CVVCVVCV̈	ɔɔaaë
dhɔ́ɔdɔ̄bhȁn	CVVCVCV	ɔɔɔa
dhɔ̀ɔdhɔ́	CVVCV	ɔɔɔ
dhɔ̀ɔdhɔ́n	CVVCV	ɔɔɔ
dhɔ́ɔgɔ̏	CVVCV	ɔɔɔ
dhɔ́ɔkóʌ̏dhɤ̄	CVVCVV̈CV̈	ɔɔoëö
dhɔ̏ɔn	CVV	ɔɔ
dhɔ̀ū	CVV	ɔu
-dhɤ̄	CV̈	ö
-dhɤ̄	CV̈	ö
dhɤ́	CV̈	ö
dhɤ́	CV̈	ö
dhɤ́	CV̈	ö
dhɤ́	CV̈	ö
dhɤ́ʌ̏	CV̈V̈	öë
dhɤ́n	CV̈	ö
dhɤ̏ɤ	CV̈V̈	öö
dhɤ́ɤdhɤ̏	CV̈V̈CV̈	ööö
dhɤ́ɤdhɤɤ	CV̈V̈CV̈V̈	öööö
dhú	CV	u
dhú	CV	u
dhȕaadhȕaadhɤ̄n	CVVVCVVVCV̈	uaauaaö
dhȕaadhȕaan	CVVVCVVV	uaauaa
dhȕaadhȕaan	CVVVCVVV	uaauaa
dhȕaan	CVVV	uaa
dhúadhȕadhɛn	CVVCVVCV	uauaɛ
dhùan	CVV	ua
dhūænzʌ̏	CVVVCV̈	uɛaë
dhúʌ̏	CVV̈	uë
dhūʌ̂n	CVV̈	uë
dhúʌ̈nbɔ̏	CVV̈CV	uëɔ
dhùen	CVV	ue
dhūɛn	CVVV	uɛa
dhȕn	CV	u
dhūn	CV	u
dhūn	CV	u
dhȕɤ	CVV̈	uö
dhūɤ	CVV̈	uö
dhūɤ	CVV̈	uö
dhūɤdhe	CVV̈CV	uöe
dhūɤdhe tɤ́ŋ	CVV̈CV CV̈CC	uöe ö
dhȕtīi	CVCVV	uii
dhȕu	CVV	uu
dhùu	CVV	uu
dhùû	CVV	uu
dhúu	CVV	uu
dhúu púu	CVV CVV	uu uu
dhúun	CVV	uu
dhúun	CVV	uu
dhúuŋ	CVVCC	uu
dhúuŋgā	CVVCCCV	uua
dhȕutīi	CVVCVV	uuii
dhȕuzʌ̏	CVVCV̈	uuë
n̄	C	
dh̀n dh́n	C C	 
n̄ká	CCV	a
Ɗóȍdhɛ	DhVVCV	Dooɛ
è	V	e
ɛ̀	V	ɛ
ɛ̀	V	ɛ
fá	fV	fa
fȁa	fVV	faa
fāȁ	fVV	faa
fáa	fVV	faa
fáafȁ	fVVfV	faafa
fàān	fVVC	faa
fáfȁ	fVfV	fafa
fʌ̀ɯ̄fʌ̀ɯ̄dhɤ	fV̈V̈fV̈V̈CV̈	fëüfëüö
fɛ́ɛ	fVV	fɛɛ
fɛ́ɛbhɛ̏n	fVVCV	fɛɛɛ
fɛ̀ɛ̂n	fVVC	fɛɛ
fɛ́ɛzʌ̏	fVVCV̈	fɛɛë
fɛ́fɛ́dhɤ̄	fVfVCV̈	fɛfɛö
fɛ̄i	fVV	fɛi
fía	fVV	fia
fíabhɛ̏n	fVVCV	fiaɛ
fíasɯ̏	fVVCV̈	fiaü
fìʌ̄	fVV̈	fië
fȉʌfȉʌdhɤ̄	fVV̈fVV̈CV̈	fiëfiëö
fìi	fVV	fii
fȉn	fVC	fi
fíŋ	fVCC	fi
fíŋ	fVCCC	fi
flá	fCV	fa
flæ̏æn	fCVVC	fɛa
flʌ́ʌ	fCV̈V̈	fëë
flʌ́ʌ̏	fCV̈V̈	fëë
flʌ́ʌflʌ́ʌ	fCV̈V̈fCV̈V̈	fëëfëë
fléȅ	fCVV	fee
flèŋ	fCVCC	fe
flèŋdhʌ́	fCVCCCV̈	feë
flɛ̏ɛn	fCVVC	fɛɛ
flɛ́ŋ	fCVCCC	fɛ
flíȉ	fCVV	fii
flíŋ	fCVCCC	fi
flɔ́	fCV	fɔ
flɤ́	fCV̈	fö
flū	fCV	fu
flùflú	fCVfCV	fufu
flùu	fCVV	fuu
flɯ́	fCV̈	fü
fɔ̏dhɤ̄	fVCV̈	fɔö
fɔ̄ŋ	fVCC	fɔ
fɤ̏	fV̈	fö
fɤ̄dhɛ̏	fV̈CV	föɛ
fɤ́ŋfɤ̏	fV̈CCfV̈	föfö
fɤ́ɤ̏	fV̈V̈	föö
fɤ̄ɤdhɛ̏	fV̈V̈CV	fööɛ
fɤ́ɤfɤ̏	fV̈V̈fV̈	fööfö
fɤ̄ɯ	fV̈V̈	föü
fɤ̄yí	fV̈CV	föi
fùʌ	fVV̈	fuë
fùû	fVV	fuu
gȁ	CV	a
gā	CV	a
gā	CV	a
gā	CV	a
gàan	CVVC	aa
gàān	CVVC	aa
gāgā	CVCV	aa
gȁn	CVC	a
gán	CVC	a
gán	CVC	a
gāzʌ̏	CVCV̈	aë
gɒ̏ɒ	CVV	aɔ
gʌ̄ʌpȉʌklú	CV̈V̈CVV̈CCV	ëëiëu
gʌ̄n	CV̈C	ë
gʌ̈n	CV̈C	ë
gʌ̄ɯ	CV̈V̈	ëü
gʌ̄ɯbhɛ̏n	CV̈V̈CV	ëüɛ
gɛ̂	CV	ɛ
gɛ̏an	CVVC	ɛa
gɛ̀an	CVVC	ɛa
gɛ̏dhʌ́ngā	CVCCV̈CV	ɛëa
gɛ̏dhɛn	CVCCV	ɛɛ
gɛ̏dhɛ́n	CVCCV	ɛɛ
gɛ̏dhɛ́nkwɛ̄ɛdhɛ̏	CVCCVCwVVCV	ɛɛwɛɛɛ
gɛ́ɛn	CVVC	ɛɛ
gɛ́iŋ	CVVCC	ɛi
gɛ̏n	CVC	ɛ
gɛ̏ngȁlɯ́	CVCCVCV̈	ɛaü
gɛ́ngɛ̏n	CVCCVC	ɛɛ
gɛ̏nkpɤ̄ɯdhɛ̏	CVCCCV̈V̈CV	ɛöüɛ
gɛ̏nkpɤ̄ɯdhɤ	CVCCCV̈V̈CV̈	ɛöüö
gɛ̏nkwɛ̄ɛdhɛ̏	CVCCwVVCV	ɛwɛɛɛ
gɛ̏nlȍbhɛ̏n	CVCCVCV	ɛoɛ
gɛ́ŋkȍ	CVVCCCV	ɛio
gȉ	CV	i
gīȁ	CVV	ia
gīȁgȉa	CVVCVV	iaia
gīȁgȉawō	CVVCVVwV	iaiawo
gȉan	CVVC	ia
gīan	CVVC	ia
gían	CVVC	ia
gíanzʌ̏	CVVCCV̈	iaë
gídhán	CVCV	ia
gíȉ	CVV	ii
gíin	CVVC	ii
gíinzʌ̏	CVVCCV̈	iië
gȉkpɛ́	CVCCV	iɛ
gíŋ	CVCC	i
gȉpȉn	CVCVC	ii
glá	CCV	a
glàȁ	CCVV	aa
gláaglȁ	CCVVCCV	aaa
glȁan	CCVVC	aa
gláan	CCVVC	aa
gládhiɤdhɛ̏	CCVCVV̈CV	aiöɛ
gládhiɤsɯ́bhɛ̏n	CCVCVV̈CV̈CV	aiöüɛ
glʌ́ŋglʌ̏ŋ	CCV̈CCCCV̈CC	ëë
glègɔ̏	CCVCV	eɔ
glȅŋ	CCVCC	e
glȅŋzʌ̏	CCVCCCV̈	eë
glɛ̏ŋ	CCVCC	ɛ
glȉglȉdhɤ̄	CCVCCVCV̈	iiö
glìī	CCVV	ii
glìî	CCVV	ii
glìīsɯ̏	CCVVCV̈	iiü
glòo	CCVV	oo
glòo	CCVV	oo
glōo	CCVV	oo
glɔ̄ŋdʌ̄	CCVCCCV̈	ɔë
glɔ̀ɔ	CCVV	ɔɔ
glɔ̄ɔ	CCVV	ɔɔ
glɔ́ɔ	CCVV	ɔɔ
glɔ́ɔglɔ̏	CCVVCCV	ɔɔɔ
glɔ́ɔglɔ̏dhɛ	CCVVCCVCV	ɔɔɔɛ
glɔ̀ɔsɯ̏	CCVVCV̈	ɔɔü
glɔ̀ɔsɯ̏	CCVVCV̈	ɔɔü
glɤ̀ɤ	CCV̈V̈	öö
glɤ̀ɤbɔ̀ɔbhɛ̏n	CCV̈V̈CVVCV	ööɔɔɛ
glȕ	CCV	u
glȕ	CCV	u
glȕ	CCV	u
glú	CCV	u
glúʌ̏kwȉ	CCVV̈CwV	uëwi
glȕbhadháä	CCVCVCVV	uaaa
glȕdʌ̄	CCVCV̈	uë
glȕdhí	CCVCV	ui
glúdhī	CCVCV	ui
glùɛīn	CCVVVC	uɛi
glùɛ̄n	CCVVC	uɛ
glùɛ̄nzʌ̏	CCVVCCV̈	uɛë
glȕgɔ̄bhɛ̏n	CCVCVCCV	uɔɛ
glȕkʌ̄bhɛ̏n	CCVCV̈CV	uëɛ
glȕkpá	CCVCCV	ua
glȕpíɤpʌ̏	CCVCVV̈CV̈	uiöë
glúsʌ̏	CCVCV̈	uë
glúu	CCVV	uu
glùūzʌ̏	CCVVCV̈	uuë
glúyāabhɛ̏n	CCVCVVCV	uaaɛ
glɯ́lɯ̏	CCV̈CV̈	üü
glɯ̀ɯ̂	CCV̈V̈	üü
glɯ́ɯzʌ̏	CCV̈V̈CV̈	üüë
gȍ	CV	o
gó	CV	o
gȍo	CVV	oo
gòȍ	CVV	oo
gōo	CVV	oo
gōô	CVV	oo
góo	CVV	oo
góö	CVV	oo
góo dhòo dɔ̏ɔ	CVV CVV CVV	oo oo ɔɔ
gɔ̏	CV	ɔ
gɔ̏	CV	ɔ
gɔ̏	CV	ɔ
gɔ̄	CV	ɔ
gɔ́	CV	ɔ
gɔ́	CV	ɔ
gɔ̂	CV	ɔ
gɔ́bhȁn	CVCV	ɔa
gɔ̏bhɛ̏n	CVCV	ɔɛ
gɔ̄bhìʌ̄n	CVCVV̈	ɔië
gɔ̏dhíɤbhɛ̏n	CVCVV̈CV	ɔiöɛ
gɔ̏gā	CVCV	ɔa
gɔ̏gȁgɯ́dhɛ̏	CVCVCV̈CV	ɔaüɛ
gɔ̏n	CVC	ɔ
gɔ̏n	CVC	ɔ
gɔ̀n	CVC	ɔ
gɔ̄n	CVC	ɔ
gɔ̄ŋgɔ̄ŋ	CVCCCVCC	ɔɔ
gɔ́ɔ	CVV	ɔɔ
gɔ́ɔ̏	CVV	ɔɔ
gɔ́ɔ̏	CVV	ɔɔ
gɔ̄ɔ̏bhɛ̏dhēn	CVVCCVCV	ɔɔɛe
gɔ̀ɔbhɛ̏n	CVVCCV	ɔɔɛ
gɔ̏ɔn	CVVC	ɔɔ
gɔ̀ɔn	CVVC	ɔɔ
gɔ̀ɔ̄n	CVVC	ɔɔ
gɔ̄ɔ̏n	CVVC	ɔɔ
gɔ̄ɔ̏ndʌ̄	CVVCCV̈	ɔɔë
gɔ̄ɔ̏ndē	CVVCCV	ɔɔe
gɔ̄ɔ̏ngbóȍ	CVVCCCVV	ɔɔoo
gɔ̄ɔ̏nklɤ̀ɤ	CVVCCCV̈V̈	ɔɔöö
gɔ́ɔnyùā	CVVCCVV	ɔɔua
gɔ̄ɔpʌ̏	CVVCV̈	ɔɔë
gɔ̏pʌ̏	CVCV̈	ɔë
gɔ́ugɔ̏	CVVCV	ɔuɔ
gɔ́ugɔ̏	CVVCV	ɔuɔ
gɔ̀ɯ̄	CVV̈	ɔü
gɤ́ŋ̏	CV̈CC	ö
gɤ̀ɤ̏	CV̈V̈	öö
gū	CV	u
gú	CV	u
gȕa	CVV	ua
gùʌ̄	CVV̈	uë
gúɛdúkpȍ	CVVCVCCV	uɛuo
gúɛfīʌn	CVVfVV̈C	uɛfië
gúgbɔ̄	CVCCV	uɔ
gúlɤ̀tȁ	CVCV̈CV	uöa
gȕŋ	CVCCC	u
gùŋzȉʌ	CVCCCVV̈	uië
gȕɤ	CVV̈	uö
gùɤ̄	CVV̈	uö
gȕɤgā	CVV̈CV	uöa
gȕɤgbɔ̄ŋ	CVV̈CCVCC	uöɔ
gȕɤkpɤ̄	CVV̈CCV̈	uöö
gȕɤpúuyí	CVV̈CVVCV	uöuui
gúu	CVV	uu
gúudʌ̄	CVVCV̈	uuë
gùun	CVVC	uu
gúun	CVVC	uu
gɯ́	CV̈	ü
gɯ́	CV̈	ü
gɯ́ʌ	CV̈V̈	üë
gɯ́ʌŋgɯ̏ʌŋ	CV̈V̈CCCV̈V̈CC	üëüë
gɯ́-dān	CV̈ CVC	ü a
gɯ́-gā	CV̈ CV	ü a
gɯ́gādhe	CV̈CVCV	üae
gɯ́glȕdhē	CV̈CCVCV	üue
gɯ̀ŋ̄	CV̈CC	ü
gɯ̀ŋ̄zʌ̏	CV̈CCCV̈	üë
gɯ́ɤ	CV̈V̈	üö
gɯ́-sìɤ̂	CV̈ CVV̈	ü iö
gɯ́sìɤ̂bhɛ̄n	CV̈CVV̈CV	üiöɛ
gɯ́sìɤ̂dhē	CV̈CVV̈CV	üiöe
gɯ́sìɤ̂sɯ̏	CV̈CVV̈CV̈	üiöü
gɯ́ɯzʌ̏	CV̈V̈CV̈	üüë
gbȁ	CCV	a
gbà	CCV	a
gbà	CCV	a
gbā	CCV	a
gbā	CCV	a
gbā	CCV	a
gbá	CCV	a
gbâ	CCV	a
gbȁa	CCVV	aa
gbȁa	CCVV	aa
gbàā	CCVV	aa
gbāa	CCVV	aa
gbāa	CCVV	aa
gbáa	CCVV	aa
gbàabóŋ	CCVVCVCC	aao
gbàādhūn	CCVVCCV	aau
gbàāgā	CCVVCV	aaa
gbāȁn	CCVVC	aa
gbàāzɔ̀ŋ̄	CCVVCVCC	aaɔ
gbȁbhɯɤ	CCVCV̈V̈	aüö
gbȁdhɛn	CCVCCV	aɛ
gbágɛ̀īnpʌ̏	CCVCVVCCV̈	aɛië
gbāklɯ̄dʌ̄	CCVCCV̈CV̈	aüë
gbȁn	CCVC	a
gbàn	CCVC	a
gbān	CCVC	a
gbán	CCVC	a
gbân	CCVC	a
gbân	CCVC	a
gbántȁ	CCVCCV	aa
gbāntʌ́ʌ	CCVCCV̈V̈	aëë
gbȁntȉa	CCVCCVV	aia
gbánzlɤ̀ɤdhɛ̏	CCVCCCV̈V̈CV	aööɛ
gbáŋklú	CCVCCCCCV	au
gbāŋkɔ́	CCVCCCV	aɔ
gbāpʌ̏	CCVCV̈	aë
gbȁvían	CCVvVVC	avia
gbɒ̄ɒ	CCVV	aɔ
gbɒ̀ɒn	CCVVC	aɔ
gbɒ̀ɒnsɯ̏	CCVVCCV̈	aɔü
gbɒ̄ɒpʌ̏	CCVVCV̈	aɔë
gbǣæ̏	CCVV	ɛa
gbǣæ̏	CCVV	ɛa
gbæ̀æ̂n	CCVVC	ɛa
gbʌ́	CCV̈	ë
gbʌ̄ŋ̏	CCV̈CC	ë
gbʌ̄ŋ̏bhɯɤ	CCV̈CCCV̈V̈	ëüö
gbʌ̄ŋ̏gā	CCV̈CCCV	ëa
gbʌ́ŋgbʌ̏ŋ	CCV̈CCCCV̈CC	ëë
gbʌ̏ɯ	CCV̈V̈	ëü
gbʌ̀ɯ	CCV̈V̈	ëü
gbʌ̏ɯgbʌ̏ɯ	CCV̈V̈CCV̈V̈	ëüëü
gbēdhēnkȕn	CCVCVCVC	eeu
gbédhiɤbɔ̄pʌ̏	CCVCVV̈CVCV̈	eiöɔë
gbéȅ	CCVV	ee
gbéegbȅ	CCVVCCV	eee
gbéëzʌ̏	CCVVCV̈	eeë
gbèī	CCVV	ei
gbȅŋ	CCVCC	e
gbēŋ	CCVCC	e
gbēŋbhɛ̏ɛ	CCVCCCVV	eɛɛ
gbēŋgbànlɯ̏	CCVCCCCVCCV̈	eaü
gbēŋgbēŋ	CCVCCCCVCC	ee
gbɛ̄	CCV	ɛ
gbɛ́a	CCVV	ɛa
gbɛ́a	CCVV	ɛa
gbɛ́ɛdhɤ̄	CCVVCV̈	ɛɛö
gbɛ̀ɛn	CCVVC	ɛɛ
gbɛ̀ɛn	CCVVC	ɛɛ
gbɛ́gbɛ̏	CCVCCV	ɛɛ
gbɛ̄gbɛ̄zʌ̏	CCVCCVCV̈	ɛɛë
gbɛ́ï	CCVV	ɛi
gbɛ̀iŋ	CCVVCC	ɛi
gbɛ̂n	CCVC	ɛ
gbía	CCVV	ia
gbīidhɤn	CCVVCCV̈	iiö
gbìin	CCVVC	ii
gbíiŋ̈	CCVVCC	ii
gbíngbȉn	CCVCCCVC	ii
gbío	CCVV	io
gbȉɤ	CCVV̈	iö
gblá	CCCV	a
gblàā	CCCVV	aa
gblàȁgblá	CCCVVCCCV	aaa
gblāŋ	CCCVCC	a
gbláudhɤ̄	CCCVVCV̈	auö
gblɒ̏ɒn	CCCVVC	aɔ
gblʌ́	CCCV̈	ë
gblʌ̀ʌ̂	CCCV̈V̈	ëë
gblʌ̏ʌ gú tȁ wɯ̏	CCCV̈V̈ CV CV wV̈	ëë u a wü
gblʌ̄ʌ̂n	CCCV̈V̈C	ëë
gblɛ̏ibȉzʌ̏	CCCVVCVCV̈	ɛiië
gbló	CCCV	o
gblōŋ	CCCVCC	o
gblȍo	CCCVV	oo
gblòo	CCCVV	oo
gblōo	CCCVV	oo
gblȍo dhʌ́n	CCCVV CV̈	oo ë
gblɔ̏dhēslʌ̄n	CCCVCVCCV̈C	ɔeë
gblɔ̄ɔ	CCCVV	ɔɔ
gblɤ́gblɤ́	CCCV̈CCCV̈	öö
gblɯ́	CCCV̈	ü
gblɯ̄ʌ	CCCV̈V̈	üë
gblɯ̄ʌdhūn	CCCV̈V̈CCV	üëu
gblɯ̏ŋ	CCCV̈CC	ü
gblɯ̏ɯn	CCCV̈V̈C	üü
gblɯ́ɯnzʌ̏	CCCV̈V̈CCV̈	üüë
gbȍ	CCV	o
gbō	CCV	o
gbó	CCV	o
gbō kɔ́	CCV CV	o ɔ
gbȍa	CCVV	oa
gbōbhɯ̀ɤ	CCVCV̈V̈	oüö
gbōgā	CCVCV	oa
gbóŋgbó	CCVCCCCV	oo
gbōŋgbōdhɤ	CCVCCCCVCV̈	ooö
gbóö	CCVV	oo
gbóödhɛ̏	CCVVCV	ooɛ
gbɔ̄	CCV	ɔ
gbɔ̄	CCV	ɔ
gbɔ́	CCV	ɔ
gbɔ̀ngbɔ̀nsɯ̏	CCVCCCVCCV̈	ɔɔü
gbɔ̄ŋgbɔ̄	CCVCCCCV	ɔɔ
gbɔ̄ŋgbɔ́	CCVCCCCV	ɔɔ
gbɔ̄ŋgbɔ̄ tȉa	CCVCCCCV CVV	ɔɔ ia
gbɔ̀ŋ̂	CCVCC	ɔ
gbɔ̀ɔ̄	CCVV	ɔɔ
gbɔ̏ɔn	CCVVC	ɔɔ
gbɔ̄ɔ̂n	CCVVC	ɔɔ
gbɔ́ɔtōo	CCVVCVV	ɔɔoo
gbɔ̄sɛ́	CCVCV	ɔɛ
gbɔ̏udhɤ̄	CCVVCV̈	ɔuö
gbɤ̄	CCV̈	ö
gbɤ̏ŋ	CCV̈CC	ö
gbȕa	CCVV	ua
gbúʌ̈ {lɯ́}	CCVV̈ {CV̈}	uë {ü}
gbuɛ	CCVV	uɛ
gbūŋ	CCVCC	u
gbɯ̄ŋ	CCV̈CC	ü
gwā	CwV	wa
gwȁa	CwVV	waa
gwāâdhɛ̏	CwVVCV	waaɛ
gwāâdhɤ	CwVVCV̈	waaö
gwāan	CwVVC	waa
gwāndhē	CwVCCV	wae
gwàngā	CwVCCV	waa
gwʌ̏ʌ	CwV̈V̈	wëë
gwɛ̂	CwV	wɛ
gwɛ̏ɛ	CwVV	wɛɛ
ì	V	i
ìȉ	VV	ii
īn	VC	i
íŋ	VCCC	i
kȁ	CV	a
kā	CV	a
kā	CV	a
kā	CV	a
ká	CV	a
ká	CV	a
ká	CV	a
ká	CV	a
ká	CV	a
kä	CV	a
kâ	CV	a
kàȁ	CVV	aa
kàā	CVV	aa
kāa	CVV	aa
kāȁ	CVV	aa
kāȁ	CVV	aa
kāȁ	CVV	aa
kāȁ	CVV	aa
kāȁ	CVV	aa
káa	CVV	aa
káa	CVV	aa
kāâgā	CVVCV	aaa
kàān	CVVC	aa
kàān	CVVC	aa
kàān	CVVC	aa
kàân	CVVC	aa
káän	CVVC	aa
kȁantȁ	CVVCCV	aaa
kāfé	CVfV	afe
káfé yí	CVfV CV	afe i
kāflēe	CVfCVV	afee
kāká	CVCV	aa
kȁkàō	CVCVV	aao
kálé	CVCV	ae
kán	CVC	a
kán bhɔ̏	CVC CV	a ɔ
kȁnsō	CVCCV	ao
kāŋ̏	CVCC	a
káŋbáä	CVCCCVV	aaa
kāŋ{kā}-dhȕn	CVCC {CV} CV	a {a} u
kɒ̀ɒ	CVV	aɔ
kɒ̄ɒ	CVV	aɔ
kɒ́ɒ	CVV	aɔ
kʌ̄	CV̈	ë
kʌ̄dhɛ̏	CV̈CV	ëɛ
kʌ̏ŋ	CV̈CC	ë
kʌ̏ŋ	CV̈CCC	ë
kʌ̀ŋ̄	CV̈CC	ë
kʌ̀ŋ̄	CV̈CCC	ë
kʌ̄pʌ̏yāa	CV̈CV̈CVV	ëëaa
kʌ̏ɯ	CV̈V̈	ëü
kʌ́ɯ	CV̈V̈	ëü
kʌ̄wȕn	CV̈wVC	ëwu
kê	CV	e
kèȅ	CVV	ee
kée	CVV	ee
kèȉ	CVV	ei
kèȉdhɛ	CVVCV	eiɛ
kèȉdhɤ̄	CVVCV̈	eiö
kɛ̀adhē	CVVCV	ɛae
