lex	Str	vowels
blɯ́ɯdȕ	CCV̈V̈CV	üüu
blɯ́ɯn yùā	CCV̈V̈C CVV	üü ua
blɯ́ɯŋ	CCV̈V̈CC	üü
blɯ́yɒ̏ɒn	CCV̈CVVC	üaɔ
bȍ	CV	o
bō	CV	o
bòʌ̄	CVV̈	oë
bòī	CVVV	uei
bɔ̄	CV	ɔ
bɔ́	CV	ɔ
bɔ́asíɤ	CVVCVV̈	ɔaiö
bɔ̄bhɛ̏n	CVCV	ɔɛ
bɔ́n	CVC	ɔ
bɔ́nkánpʌ̏	CVCCVCCV̈	ɔaë
bɔ́ŋ	CVCC	ɔ
bɔ́ŋbɔ̏ŋ	CVCCCVCC	ɔɔ
bɔ̀ɔ̄	CVV	ɔɔ
bɔ̄ɔ	CVV	ɔɔ
bɔ̏tóu	CVCVV	ɔou
bɤ́	CV̈	ö
bɤ̄ɯ̏	CV̈V̈	öü
bɤ́ɯ	CV̈V̈	öü
bɤ́ɯdhɤ̄	CV̈V̈CV̈	öüö
bɤ̄ɯ̏gɯ́	CV̈V̈CV̈	öüü
bɤ̄ɯ̏gɯ́dhɛ̏	CV̈V̈CV̈CV	öüüɛ
bɤ̄ɯ̏kpɤ̄	CV̈V̈CCV̈	öüö
bɤ̄ɯ̏zʌ̏	CV̈V̈CV̈	öüë
bɤ́ɯzʌ̏	CV̈V̈CV̈	öüë
bū	CV	u
bú	CV	u
bȕadhɤ̄	CVVCV̈	uaö
būʌ̏dhɤ̄n	CVV̈CCV̈	uëö
būʌ̏npʌ̏	CVV̈CCV̈	uëë
būdhazʌ̏	CVCVCV̈	uaë
búdhɤ̄	CVCV̈	uö
bùeî	CVVV	uei
būgā	CVCV	ua
búlá	CVCV	ua
búlázʌ̏	CVCVCV̈	uaë
būn	CVC	u
būn	CVC	u
búsɯ̏	CVCV̈	uü
bȕu	CVV	uu
búu	CVV	uu
búȕ	CVV	uu
būudhɤ	CVVCV̈	uuö
bɯ́ʌŋbɯ̏ʌŋ	CV̈V̈CCCV̈V̈CC	üëüë
bɯ̄ʌŋbɯ̄ʌŋdhɤ	CV̈V̈CCCV̈V̈CCCV̈	üëüëö
bɯ̏dhɤ̄	CV̈CV̈	üö
bɯ́dhɤ̄	CV̈CV̈	üö
bɯ̏ŋ	CV̈CCC	ü
bɯ̏ɤ	CV̈V̈	üö
bɯ̏ɤ	CV̈V̈	üö
bɯ̏ɤ	CV̈V̈	üö
bɯ̏ɤbȉ	CV̈V̈CV	üöi
bhȁ	CV	a
bhȁ	CV	a
bhȁ	CV	a
bhā	CV	a
bhá	CV	a
bhá	CV	a
bhä	CV	a
bhàa	CVV	aa
bhāa	CVV	aa
bháa	CVV	aa
bháa	CVV	aa
bháa	CVV	aa
bháa	CVV	aa
bháȁ	CVV	aa
bhàabhán	CVVCV	aaa
bhàân	CVV	aa
bhāân	CVV	aa
bháan	CVV	aa
bhȁan kʌ̄	CVV CV̈	aa ë
bhȁazʌ̏	CVVCV̈	aaë
bhȁbha	CVCV	aa
bhábhɛ̏n	CVCV	aɛ
bhȁdʌ̄	CVCV̈	aë
bhȁdhʌ́n	CVCV̈	aë
bhádhȅ	CVCV	ae
bhádhɛ̏	CVCV	aɛ
bhȁn	CV	a
bhȁn	CV	a
bhȁn	CV	a
bhān	CV	a
bhān	CV	a
bhān	CV	a
bhān	CV	a
bhán	CV	a
bhán	CV	a
bhän	CV	a
bhȁnkún	CVCVC	au
bhȁnwȕn	CVwVC	awu
