id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
1546	kplɔ̄	kplɔ				CLV		SB, LJ	n	сущ				29/Nov/2008						
1547	kplɔ̏ŋgȅ	-kplɔngge	[-kplɔng -ge]			CLV÷	Bird	LP	n	сущ				25/Nov/2008						
1548	kplɔ́ŋkplɔ̏ŋ	'kplɔngkplɔng	['kplɔng -kplɔng]			CLV÷ CLV÷		LJ	adj	прил				03/Dec/2008						
1549	kplɔ̀ɔ̄	=kplɔɔ'			ɔɔ	CLVV	Natural Plant Comestible	KB, CE	n	сущ				30/Aug/2000						
1550	kplɔ̄ɔn	kplɔɔn			ɔ̰ɔ̰	CLVÃVÃ	Natural Object	KB	n	сущ								употребляется в форме ед.ч. в значении множественного		
1551	kplɔ̄ɔngā	kplɔɔnga	[kplɔɔn ga]				Natural Object	LJ, KB	n	сущ				22/Aug/2007						
1552	kplɤ́	'kplö				CLV	Artifact Object Instrument Fishery	BE, MG, LJ, DJ, GJ, SB	n	сущ				09/Jan/2009						
1553	kplɤ̄ɤ	kplöö-			ɤɤ ~ ɤ	CLVV ~ CLV	Plant Consumable	LJ	n	сущ				30/Aug/2000						
1554	kplɤ́zȕɤbhɛ̏n	'kplözuömɛ	['kplö -zuö -mɛ]				Human Occupation Fishery	LJ	n	сущ				25/Nov/2008						
1555	kplūʌn	kpluën			ṵʌ̰	CLVÃVÃ	Cookery Comestible	LJ	n	сущ				17/Oct/2008						
1556	kplùū	=kpluu'			uu	CLVV	Artifact Object Container	LJ	n	сущ				26/Nov/2008						
1557	kplɯ̀ʌ̄kplɯ̏ʌkplɯ̀ʌ̄dhɤ	=kplüëkplüëkplüëdhö	[=kplüë' -kplüë =kplüë' dhö]		ɯʌ	CLVV CLVV CLVV		LJ	adv	экс.нар				03/Dec/2008						
1558	kplɯ̄ŋ	kplüng				CLV÷		LJ	n	сущ										
1559	kplɯ̄ŋzʌ̏	kplüngzë	[kplüng -zë]					LJ	adj	прил				26/Nov/2008						
1560	kpȍ	-kpo						DJ, LJ	n	сущ				17/Oct/2008						
1561	kpó	'kpo				CV-H	BoundedEvent Agentive Location Physical Purpose	DJ, --LJ	v	гл				22/Jan/2011						
1562	kpódha	'kpodha	['kpo 'dha]					GA, GD, LJ, BE	n	сущ				29/Nov/2008						
1563	kpódhazʌ̏	'kpodhazë	['kpo 'dha -zë]					GA, GD, LJ	adj	прил				22/Aug/2007						
1564	kpódhɤ̄	'kpodhö	['kpo dhö]					LJ	adv	нар				26/Nov/2008						
1565	kpókpódhɤ̄	'kpokpodhö	['kpo 'kpo dhö]					LJ	adv	нар				17/Oct/2008						
