id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
1														14/Jan/2017						
2	-`	=							mrph	мрф				22/Jan/2011	JNT	JNT	JNT	понижение тона глагола, показатель сопряжённой конструкции	lowering of the verbal tone, a joint construction marker	l'abaissement du ton du verbe, la marque de la construction conjointe
3	-\	-\							mrph	мрф				28/Jan/2008	FCT	FCT	FCT	мена тона глагола на ассимилированный (низкопадающий), показатель фактатива	replacement of the lexical tone of the verb by assimilating falling (low-falling), a mark of the	remplacement du ton du verbe par un ton bas-tombant, une marque du
4	-\	-\							mrph	мрф				28/Jan/2008	NMLZ	NMLZ	NMLZ	замена лексического тона глагола на ассимилированный (низкопадающий) при фразовой	substitution of the lexical tone of the verb with an assimilating falling (low-falling) tone as a	substitution du ton lexical du verbe par un ton bas-tombant comme la
5	-\	-\							mrph	мрф				28/Jan/2008	GEN	GEN	GEN	мена тона существительного на ассимилированный (низкопадающий), показатель главного	replacement of the lexical tone of the noun by assimilating falling (low-falling) , a mark of the	remplacement du ton du nom par un ton bas-tombant, une marque du mot
6	ȁ	-a				V		DJ, LJ, GJ, BE, MG	pron	л.мест				14/Dec/2008	3SG.NSBJ	3SG.NSBJ	3SG.NSBJ	часто опускается, остающийся сверхнизкий тон присоединяется к предшествующему слову	is often omitted, in this case the remaining extra-low tone is added as a suffix to the preceding word	souvent omis, le ton extra-bas reste suffixé au mot précédent
7	à	=a				V		LJ, SB	prt	част				14/Dec/2008	Q	Q	Q	тон части\цы зави\сит от то\на предше\ствующей гла\сной: ни\зкий тон по\сле ни\зкого и сре\днего; па\дающий по\сле па\дающего и среднепа\дающего; сре\дний по\сле высо\кого	interrogative particle of a general question	particule interrogative générale; le ton de la particule varie en fonction du ton de la voyelle précédente: il est bas après les voyelles à tons bas et moyens; descendant après tons descendant et moyen-descendant; moyen après ton haut
8	ā	a				V		LJ, DJ, GJ, MG	pron	л.мест				19/Jul/2008	1SG.EXI	1SG.EXI	1SG.EXI			
9	á	'a				V		DJ, LJ, EF, GJ	pron	л.мест				10/Jul/2008	1SG.JNT	1SG.JNT	1SG.JNT			
10	á	'a				V		LJ	pron	л.мест				16/Jul/2008	1SG.OPT	1SG.OPT	1SG.OPT			
11	á	'a				V		LJ	itj	межд				25/Nov/2008	ouch	aïe	ой			
12	â	'a-		á + ȁ	a			LJ	pron	л.мест	<*á ȁ>	<*á ȁ>	<*á ȁ>	14/Dec/2008						
13	a	a-		ā + ȁ	a			LJ	pron	л.мест	<*ā ȁ>	<*ā ȁ>	<*ā ȁ>	14/Dec/2008				стяжённая форма: субъектное бытийное местоимение 1 л. ед.ч. + несубъектное местоимение 3	a contractive form: existential subject 1 sg. pronoun + non-subject 3 sg. pronoun	
14	āa	aa				VV		SB	itj	межд				25/Nov/2008	ouch	hélas!	эх	междоме\тие доса\ды, сожале\ния	interjection of  disappointment, regret	
15	áaàan	'aanaan	['aan =aan'-]			VÃVÃ	Bird	LP	n	сущ				14/Dec/2008	heron	héron	цапля			
16	áan	'aan				VÃVÃ		MG, LJ, GJ	pp	пл				25/Nov/2008	PP	PP	PP	(передаёт значе\ние инструмента\лиса, перево\дится твори\тельным падежо\м)		
17	áân	'aan-				VV		DJ, LJ	pron	л.мест				01/Dec/2008	1SG.PURP	1SG.PURP	1SG.PURP			
18	àbí	=abi	[=a 'bi]			V CV		SB, LJ	itj	межд				14/Dec/2008	no	non	нет			
19	ȁ-bhȁn	-ama	[-a -ma]					LJ	pron	л.мест	<*ȁnȕ ɓȁ>	<*ȁnȕ ɓȁ>	<*ȁnȕ ɓȁ>	02/Dec/2008						
20	ȁn	-an				VÃ		DJ, LJ, GJ	pron	л.мест				14/Dec/2008	3PL.NSBJ	3PL.NSBJ	3PL.NSBJ			
21	àn	=an				VÃ	Location	MG, LJ	pp	пл				10/Jul/2008	on	sur	на			
22	àō	=ao'				VV		LJ, DJ, MG	itj	межд				09/Jan/2009	yes	oui	да			
23	bȁ	-ba				CV-AF			v	гл	<*big>			22/Jan/2011	grow	accroitre	увеличивать			
24	bá	'ba				CV			n	сущ				14/Dec/2008	pocket	poche	карман			
25	bá	'ba				CV		LJ	itj	межд				02/Dec/2008			другое дело			
26	bàa	=baa'-			aa	CVV-LNAF		DJ, LJ	v	гл				22/Jan/2011	repair	réparer	чинить			
27	báa	'baa			aa	CVV		LJ	adj	прил				09/Jan/2009						
28	báabȁ	'baaba	['baa -ba]		aa	CVV CV		DJ, LJ	adv	нар				09/Mar/2009	wet	mouillé	мокрый			
29	bàādhèen	=baandhee	[=baan' =dhee]		ee		Natural Object Comestible	DJ, LJ	n	сущ				30/Jan/2011						
30	báȁn	'baan-			a̰a̰			LJ	loc.n	лок.сущ				30/Jan/2011	agriculture.team.LOC?	groupe.de.travail.LOC?	бригада.LOC?			
31	bàāpʌ̏	=baapë	[=baa' -pë]		aa		Artifact Object Garment	MG, DJ, LJ, OD, GJ	n	сущ				28/Sep/2008						
32	bádhɤ̄	'badhö	['ba dhö]					DJ, LJ	adv	нар				07/Jan/2009	aside	à.côté	в.сторонке			
33	bālōn	balon					Artifact Object	LJ	n	сущ	<Fr>			09/Mar/2009	ball	ballon	мяч			
34	bān	ban				CV-M			v	гл	<*rain (to)>			22/Jan/2011	trickle	couler	течь			
35	bán	'ban					Human	LJ	n	сущ				25/Nov/2008	agriculture.team	groupe.de.travail	бригада			
36	báudhɤ̄	'baudhö	['bau dhö]		au			DJ, LJ	adv	нар				07/Jan/2009	violently	violemment	сильно			
37	bæ̏æn	-bɛan			ɛ̰a̰		Natural Object Comestible	DJ, LJ, SB, OD	n	сущ				27/Jul/2008						
38	bʌ́	'bë					UnboundedEvent	DJ, LJ, SB	n	сущ				23/Jan/2011	childbirth	accouchement	роды			
39	bʌ́ʌ̏	'bëë-			ʌʌ		Human	MG, LJ	n	сущ				30/Jan/2011						
40	bʌ́dhɤ̄	'bëdhö	['bë dhö]					DJ, LJ	adv	нар				09/Jan/2009	tightly	hermétiquement	плотно			
41	bʌ̏ŋbʌ̏ŋdhɤ̄	-bëngbëngdhö	[-bëng -bëng dhö]					DJ, LJ	adv	нар				25/Nov/2008	rapidly	rapidement	быстро	(употребля\ется то\лько в сочета\нии с глаго\лом		(utilisé toujours après le verbe
42	bʌ̀ŋ̄bʌ̀ŋ̄dhɤ	=bëngbëngdhö												22/Aug/2007						
43	bȅ	-be						LJ	adv	нар				23/Dec/2008	before	avant	раньше			
44	bȅ	-be					Group	LJ, DJ, GJ	n	сущ	<*bunch>		<*bunch>	23/Jan/2011	bunch	ballot	связка			
45	bèe	=bee'-			ee		Natural Object Comestible	MG, LJ, DJ, GJ	n	сущ				23/Jan/2011	cassava	manioc	маниок			
46	bèe gīŋ	=bee'- ging			ee		Reptile	YA, SE	n	сущ				09/Mar/2009						
47	bèe kpá	=bee'- 'kpa			ee		Plant	LJ	n	сущ				28/Nov/2008						
48	bèedhɛ́yí	=beedhɛyi	[=bee'- 'dhɛ 'yi]		ee			LJ	n	сущ	<feuille de manioc-couleur>			27/Jul/2008						
49	bèedhɛ́yízʌ̏	=beedhɛyizë	[=bee'- 'dhɛ 'yi -zë]		ee			LJ	adj	прил	<feuille de manioc-couleur-suff>			09/Mar/2009						
50	bèegā	=beega	[=bee'- ga]		ee		Natural Object Comestible	KB	n	сущ				28/Sep/2008						
51	bèŋ̄bèŋ̄dhɤ	=bengbengdhö												22/Aug/2007						
52	bȅzʌ̏	-bezë	[-be -zë]						adv	нар				09/Mar/2009						
53	bɛ̄a	bɛa			ɛa ~ ia		KinTerm	BE, LJ	n	сущ	<*nephew>			08/Jan/2009	nephew	neveu	племянник			
54	bɛ̏ankȁa	-bɛankaa	[-bɛn -bha -kaa]		ɛ̰a̰		Living Part		n	сущ				02/Dec/2008						
55	bɛ̏ɛ	-bɛɛ			ɛɛ		Artifact Object Garment	DJ, LJ	n	сущ	<*loincloth-1>			27/Jul/2008						
56	bɛ̀ɛn	=bɛɛn'-			ɛ̰ɛ̰	CVV-LNAF derivat	Dynamic Existence Physical Purpose	LJ	v	гл	<*bɛ̰̏ zʌ̄>			22/Jan/2011						
57	bɛ́i	'bɛi			ɛi			LJ	n	сущ				02/Dec/2008						
58	bɛ̏n	-bɛn					Human Part	LJ, DJ, BE, GJ	n	сущ				23/Jan/2011	lip	lèvre	губа			
59	bɛ̏n gbɔ̄	-bɛn gbɔ					Living Part	GA, KD	n	сущ				02/Dec/2008						
60	bȉ	-bi					Substance Solid	LJ	n	сущ	<*powder-4>			27/Jul/2008	powder	poudre	порошок			
61	bīa	bia			ia ~ ɛa									27/Jul/2008						
62	Bīȁ	Bia-			ia			LJ	n	сущ				30/Jan/2011						
63	bìʌn	=biën			ḭʌ̰		Artifact Object	LJ, DJ	n	сущ				21/Mar/2009						
64	bȉbȉdhɤ̄	-bibidhö	[-bi -bi dhö]					LJ	adv	экс.нар				27/Jul/2008						
65	bídhɤ̄	'bidhö	['bi dhö]					LJ	adv	нар				02/Dec/2008						
66	bȉn	-bin				CV-AF	BoundedEvent Agentive Location Purpose	MG, LJ, DJ, GJ	v	гл				22/Jan/2011						
67	bín	'bin						LJ, BE, OD	n	сущ	<*black-3>			23/Jan/2011	darkness	obscurité	тьма			
68	bín	'bin					Natural	LJ, DJ	n	сущ	<*flower>			24/Jul/2008						
69	bín	'bin						LJ, DJ	v	гл	<*flower>			22/Jan/2011						
70	bíngātīi	'bingatii	['bin ga tii]					LJ, DJ, OD	n	сущ	<nuit-?-noir>			28/Sep/2008						
71	bìŋ̄bìŋ̄dhɤ	=bingbingdhö	[=bing' =bing' dhö]					LJ	adv	нар				25/Nov/2008						
72	bìo	=bio			io			MB, DJ, LJ, BE	v	гл	<*bȉ + ɓō>	<*bȉ + ɓō>	<*bȉ + ɓō>	22/Jan/2011						
73	bíɔ	'biɔ			iɔ		Living Part	GA, MA, LJ	n	сущ				27/Jul/2008	mane	crinière	грива			
74	bíɔnbȉɔn	'biɔnbiɔn	['biɔn -biɔn]		ḭɔ̰				adv	нар				27/Jul/2008						
75	bíɔnbȉɔnzʌ̏	'biɔnbiɔnzë	['biɔn -biɔn -zë]		ḭɔ̰			LJ	adj	прил				21/Mar/2009						
76	bíɔŋbȉɔŋ	'biɔngbiɔng	['biɔng -biɔng]					DJ, LJ	adj	прил				21/Mar/2009						
77	bīɤ	biö			iɤ		Animal	LJ, BE, MG, DJ, CE	n	сущ	<*elephant-2>			02/Dec/2008	elephant	éléphant	слон			
78	bīɤ lɯ̏	biö -lü			iɤ			LJ	n					21/Mar/2009						
79	blȁ	-bla				CLV		LJ	n	сущ	<*run-2>			23/Jan/2011						
80	blàā	=blaa'			aa	CLVV		LJ, DJ	adv	нар				02/Dec/2008						
81	blàāblàā	=blaablaa	[=blaa' =blaa']		aa	CLVV		LJ	adv	нар				21/Mar/2009						
82	blȁan	-blaan			a̰a̰	CLVÃVÃ		LJ, DJ	n	сущ				30/Sep/2008						
83	blábládhɤ̄	'blabladhö	['bla 'bla dhö]			CLV		LJ, DJ	adv	нар				25/Nov/2008						
84	bládhɤ̄	'bladhö	['bla dhö]			CLV		LJ, DJ	adv	нар				30/Sep/2008						
85	blákpɔ́	'blakpɔ	['bla 'kpɔ]			CLV	BoundedEvent Physical	LJ, DJ	v	гл				22/Jan/2011						
86	blʌ́	'blë				CLV-H		LJ	v	гл				22/Jan/2011						
87	blʌ̏ʌ	-blëë			ʌʌ	CLVV	Stative Time	LJ, GJ	n	сущ	<*dry season>			08/Jun/2010	dry.season	saison.sèche	сухой.сезон			
88	blʌ̀ʌ̄	=blëë'			ʌʌ	CLVV		LJ, MG, DJ	n	сущ	<*leaves>			27/Jul/2008	greenery	verdure	зелень			
89	blʌ̀ʌ	=blëë'-			ʌʌ	CLVV-LNAF		LJ, DJ	v	гл	<*cut-3>			22/Jan/2011						
90	blʌ̀ʌ̄dhɛ́	=blëëdhɛ	[=blëë' 'dhɛ]			CLVV		BE, LJ	n	сущ				23/Jan/2011						
91	blʌ́dhɛ̏	'blëdhɛ	['blë -dhɛ]			CLV		LJ, Luc 5:36	n	сущ				30/Sep/2008						
92	blʌ̀ŋ	=blëng				CLV÷		LJ, GA	n	сущ				28/Jul/2008						
93	blʌ́ŋ	'blëng				CLV÷	Animal	LJ	n	сущ				28/Jul/2008						
94	bléedhɛ̏	'bleedhɛ	['blee -dhɛ]		ee	CLVV		LJ	loc.n	лок.сущ				08/Jun/2010						
95	bléedhɤ̄	'bleedhö	['blee dhö]					LJ	loc.n	лок.сущ				28/Jul/2008						
96	blēŋdhɤ	blengdhö	[bleng dhö]			CLV÷		DJ, LJ	adv	нар				21/Mar/2009						
97	blɛ̀ɛ	=blɛɛ'-			ɛɛ	CLVV-LNAF	BoundedEvent Communication Purpose	LJ, GJ, DJ, OD	v	гл				22/Jan/2011						
98	blɛ̀ɛ̄dhe	=blɛɛdhe	[=blɛɛ' dhe]		ɛɛ	CLVV		LJ	n	сущ				25/Nov/2008						
99	blɛ̀ɛ̄dhɛ́	=blɛɛdhɛ	[=blɛɛ' 'dhɛ]		ɛɛ	CLVV			n	сущ				02/Dec/2008						
100	blɛ̏ɛzʌ̏	-blɛɛzë	[-blɛɛ -zë]		ɛɛ	CLVV		LJ, DJ, BE, GJ, OD	adj	прил				06/Apr/2009	first.ADJ	premier.ADJ	первый.ADJ			
101	blɛ́ŋblɛ̏ŋ	'blɛngblɛng	['blɛng -blɛng]			CLV÷		LJ	adj	прил				06/Apr/2009						
102	blīi	blii			ii	CLVV	Natural Group	LJ, DJ	n	сущ				06/Apr/2009						
103	blíkɤ́	'blikö	['bri 'kö]			CLV	Artifact Object	LJ	n	сущ	Fr			30/May/2010						
104	blìŋ̄blìŋ̄dhɤ	=blingblingdhö	[=bëng' =bëng' dhö]			CLV÷		DJ, LJ	adv	нар				06/Apr/2009						
105	Blòŋ̄dhɛ̏	=Blongdhɛ	[=Blong' dhɛ]			CLV÷		LJ	loc.n	лок.сущ				09/Jun/2010						
106	Blōȍdhɛ	Bloodhɛ	[bloo- dhɛ]		oo	CLVV		LJ	loc.n	лок.сущ				30/Jan/2011						
107	blɔ̄	blɔ				CLV-M	BoundedEvent Physical Experience Modal	DJ, LJ	v	гл				22/Jan/2011						
108	blɔ́ɔ	'blɔɔ			ɔɔ	CLVV	Reptile	LJ, SB	n	сущ				02/Dec/2008						
109	blɔ́ɔ̏bhɛ̏n	'blɔɔnmɛ	['blɔɔn- -mɛ]					LJ	n	сущ				30/Jan/2011						
110	blɔ̄ɔ̏n	blɔɔn-			ɔ̰ɔ̰	CLVÃVÃ	Artifact Object Place Container Religion	LJ, CE	n	сущ				30/Jan/2011						
111	blɔ̄ɔ̏n	blɔɔn-			ɔ̰ɔ̰	CLVÃVÃ	Substance Solid	LJ	n	сущ				30/Jan/2011						
112	blɔ́ɔ̏n	'blɔɔn-			ɔ̰ɔ̰	CLVÃVÃ	State Condition Manner Mental	LJ, DJ	n	сущ				30/Jan/2011						
113	blɔ̄ɔ̏ntàadhɛ̏	blɔɔntaadhɛ	[blɔɔn- =taa -dhɛ]		aa	CLVÃVÃ		LJ	n	сущ				30/Jan/2011						
114	blɔ́ɔ̏nzʌ̏	'blɔɔnzë	['blɔɔn- -zë]			CLVÃVÃ			adj	прил				30/Jan/2011						
115	blɤ̄ɤ	blöö			ɤɤ	CLVV	Natural Place	DJ, LJ	loc.n	лок.сущ				17/Jun/2010						
116	blȕ	-blu				CLV	Human Part	MG, LJ	n	сущ	<*navel>			06/Apr/2009						
117	blȕgbɔ̄ŋ	-blugbɔng	[-blu gbɔng]				State Condition Manner Physical Medicine	LJ	n	сущ				28/Jul/2008						
118	blùu	=bluu'-			uu	CLVV	Artifact Object Comestible Cookery	BE	n	сущ	<*bread>			25/Nov/2008						
119	blúȕbȉ	'bluubi	[=bluu'- -bi]				Cookery Comestible	DJ, LJ	n	сущ				30/Jan/2011						
120	blȕudhɤ̄	-bluudhö	[-bluu dhö]		uu	CLVV		LJ	adv	нар				28/Jul/2008						
121	blɯ̏	-blü				CLV-AF			v	гл				22/Jan/2011	push	pousser	толкать			
122	blɯ́	'blü				CLV			loc.n	сущ				23/Jan/2011						
123	blɯ̏ʌ{yīʌ}	-blüë {yië}			iʌ	CLVV		LJ, GJ	n	сущ				08/Jun/2010						
124	blɯ́blɯ́	'blüblü	['blü 'blü]					LJ	loc.n	лок.сущ				28/Jul/2008						
125	blɯ́blɯ́dhɤ̄	'blüblüdhö	['blü 'blü dhö]			CLV		LJ	adv	нар				01/Oct/2008						
126	blɯ́bhɔ̏	'blübhɔ	['blü -bhɔ]				Animal		n	сущ				14/Dec/2008						
127	blɯ́dȕ	'blüdu	['blüü -du]			CLVV	Animal	DJ, LJ	n	сущ				06/Apr/2009						
128	blɯ́dhɛyí	'blüdhɛyi	['blü 'dhɛ 'yi]			CLV		M?	n	сущ	<brousse-feuille-couleur>			22/Aug/2007						
129	blɯ́dhɛyízʌ̏	'blüdhɛyizë	['blü 'dhɛ 'yi -zë]					LJ	adj	прил	<brousse-feuille-couleur-suff>			25/Nov/2008						
130	blɯ́dhīin	'blünii						SB	n	сущ										
131	blɯ́gȁn	'blügan	['blü -gan]			CLV	Bird	LP	n	сущ				25/Nov/2008						
132	blɯ́gbɔ̏ɔn	'blügbɔɔn	['blü -gbɔɔn]				Insect	BE, LJ	n	сущ				22/Aug/2007						
133	blɯ́kɒ̄ɒ	'blükaɔ	['blü kaɔ]				Bird	LP	n	сущ				28/Nov/2008						
134	blɯ́kʌ̄bhɛ̏n	'blükëmɛ	['blü kë -mɛ]	blɯ́+ kʌ̄+ mɛ̄+ -\{GEN}					n	сущ	<forest-do-person>	<саванну-делать-человек>	<brousse-faire-homme>	25/Nov/2008						
135	blɯ́ŋ	'blüng												06/Apr/2009						
136	blɯ̏pʌ̏	-blüpë	[-blü -pë]			CLV			n	сущ				25/Nov/2008						
137	blɯ̀ɯ	=blüü'-			ɯɯ	CLVV-LNAF		LJ, DJ	v	гл				22/Jan/2011						
138	blɯ́ɯ	'blüü							loc.n					25/Nov/2008						
139	blɯ́ɯdȕ	'blüüdu												25/Nov/2008						
140	blɯ́ɯn yùā	'blüün =yua'			ɯ̰ɯ̰	CLVÃVÃ	State Condition Manner Physical Medicine	DJ, LJ	n	сущ	<maladie d'herisson>			02/Dec/2008						
141	blɯ́ɯŋ	'blüüng			ɯɯŋ ~ɯŋ ~ ɯ̰ɯ̰	CLVV÷ ~ CLV÷ ~ CLVÃVÃ	Animal	BE, LJ	n	сущ	<*porcupine-3>?			06/Apr/2009						
142	blɯ́yɒ̏ɒn	'blüyaɔn	['blü -yaɔn]				Animal	YA, SE	n	сущ				28/Jul/2008						
143	bȍ	-bo				CV-AF		LJ	v	гл				22/Jan/2011						
144	bō	bo				CV-M			v	гл	<*end-2>			22/Jan/2011	finish	finir	заканчивать			
145	bòʌ̄	=boë'			oʌ			RC	adj	прил				06/Apr/2009						
146	bòī	=buei'-			oi		Bird	LP	n	сущ				25/Feb/2010						
147	bɔ̄	bɔ				CV-M			v	гл	<*send-2>			22/Jan/2011	pass	passer	проходить			
148	bɔ́	'bɔ					Plant	LJ	n	сущ				28/Jul/2008						
149	bɔ́asíɤ	'bɔasiö	['bɔa 'siö]		iɤ				n	сущ	<boite>			07/Apr/2009						
150	bɔ̄bhɛ̏n	bɔmɛ	[bɔ -mɛ]				Human Occupation	LJ	n	сущ				22/Aug/2007						
151	bɔ́n	'bɔn						LJ	n	сущ				23/Jan/2011						
152	bɔ́nkánpʌ̏	'bɔnkanpë	['bɔn 'kan -pë]					DJ, LJ	n	сущ				28/Jul/2008						
153	bɔ́ŋ	'bɔng												22/Aug/2007						
154	bɔ́ŋbɔ̏ŋ	'bɔngbɔng	['bɔn -bɔn]					LJ, DJ	adj	прил				23/Feb/2010						
155	bɔ̀ɔ̄	=bɔɔ'			ɔɔ		Animal	YA, SE	n	сущ										
156	bɔ̄ɔ	bɔɔ			ɔɔ		KinTerm	LJ, DJ, BE, GJ, RC	n	сущ				28/Jul/2008						
157	bɔ̏tóu	-bɔtou	[-bɔ 'tou]		ou		Artifact Object Garment	DJ, LJ	n	сущ	<bɔ̄+-\NMLZ tó gɯ́>			25/Nov/2008						
158	bɤ́	'bö						LJ	adv					02/Dec/2008						
159	bɤ̄ɯ̏	böü-			ɤɯ				n	сущ	<*mud-2>			30/Jan/2011	mud	boue	глина			
160	bɤ́ɯ	'böü			ɤɯ			DJ, LJ	n	сущ				07/Apr/2009						
161	bɤ́ɯdhɤ̄	'böüdhö	['böü dhö]		ɤɯ			LJ	adv	нар				28/Nov/2008						
162	bɤ̄ɯ̏gɯ́	böügü	[böü- 'gü]					LJ						30/Jan/2011						
163	bɤ̄ɯ̏gɯ́dhɛ̏	böügüdhɛ	[böü- 'gü -dhɛ]					LJ	n	сущ				30/Jan/2011						
164	bɤ̄ɯ̏kpɤ̄	böükpö	[böü- kpö]				Artifact Object	LJ	n	сущ	<banco-boule>			30/Jan/2011						
165	bɤ̄ɯ̏zʌ̏	böüzë	[böü- -zë]					DJ, LJ	adj	прил	<banco-ADJ>			30/Jan/2011						
166	bɤ́ɯzʌ̏	'böüzë	['böü -zë]					DJ, LJ	adj	прил	<forme-ADJ>			07/Apr/2009						
167	bū	bu					Artifact Instrument	LJ, DJ, CE, OD	n	сущ	<*gun-2>			23/Jan/2011	gun	fusil	ружьё			
168	bú	'bu				CV-H		LJ, MG	v	гл	<*rot-2>			22/Jan/2011	rot	pourrir	сгнивать			
169	bȕadhɤ̄	-buadhö	[-bua dhö]		ua			LJ	adv	нар				25/Nov/2008						
170	būʌ̏dhɤ̄n	buëndhö	[buën- dhö]		ṵʌ̰			LJ, DJ	pp					30/Jan/2011						
171	būʌ̏npʌ̏	buënpë	[bun -bha -pë]		ṵʌ̰		Artifact Object Garment	LJ	n	сущ				30/Jan/2011						
172	būdhazʌ̏	budhazë												22/Aug/2007						
173	búdhɤ̄	'budhö	['bu dhö]					LJ	adv	нар				01/Oct/2008						
174	bùei	=buei'-			uei		Bird	MB, SB	n	сущ				25/Feb/2010						
175	būgā	buga	[bu ga]					DJ, SB, GJ	n	сущ			<fusil-os>	28/Jul/2008						
176	búlá	'bula	['bu 'la]		ú-á l		Static Property Physical	LJ	n	сущ				07/Apr/2009						
177	búlázʌ̏	'bulazë	[bu dha -zë]				Property Physical	GJ, LJ	adj	прил				07/Apr/2009						
178	būn	bun				CV-M		LJ, DJ	v	гл	<*support>			22/Jan/2011						
179	būn	bun			ṵʌ̰ ~ ṵ		Living Object	LJ	n	сущ				28/Jul/2008						
180	búsɯ̏	'busü	['bu -sü]											07/Apr/2009						
181	bȕu	-buu			uu		Natural	LJ	n	сущ	<*haramattan>			25/Nov/2008	harmattan	harmattan	харматтан			
182	búu	'buu			uu		Natural	LJ, DJ, SB	n	сущ				14/Dec/1999						
183	búȕ	'buu-			uu			MG, LJ	adj					30/Jan/2011						
184	būudhɤ	buudhö	[buu dhö]		uu			LJ	adv	экс.нар				25/Nov/2008						
185	bɯ́ʌŋbɯ̏ʌŋ	'büëngbüëng	['bhüëng -bhüëng]		ɯʌŋ			LJ	adj	прил				09/Jan/2009						
186	bɯ̄ʌŋbɯ̄ʌŋdhɤ	büëngbüëngdhö	[büëng büëng dhö]		ɯʌŋ			LJ	adv	нар	<béant->			07/Apr/2009						
187	bɯ̏dhɤ̄	-büdhö	[-bü dhö]					DJ, LJ	adv	нар				07/Apr/2009						
188	bɯ́dhɤ̄	'büdhö						LJ	adv	нар				25/Nov/2008						
189	bɯ̏ŋ	-bünng						LJ	n	сущ				23/Jan/2011						
190	bɯ̏ɤ	-büö			ɯɤ	CVV-AF		LJ, CE	v	гл	<*wake up-2>			22/Jan/2011	wake.up	se.réveiller	проснуться	не употребляется в прогрессиве		
191	bɯ̏ɤ	-büö			ɯɤ		BoundedEvent Communication Purpose	LJ	n	сущ				23/Jan/2011						
192	bɯ̏ɤ	-büö			ɯɤ		Natural Substance Solid	LJ	n	сущ				28/Jul/2008						
193	bɯ̏ɤbȉ	-büöbi	[-büö -bi]					LJ	n	сущ	<cendre-poussiere>			28/Jul/2008						
194	bhȁ	-bha							pp	пл				07/Apr/2009	on	sur	на			
195	bhȁ	-bha						LJ	mrph	мрф	<from ɓȁ 1>	<от ɓȁ 1>	<de ɓȁ 1>	28/Jul/2008	POSS	POSS	POSS	cоедини\тельный элеме\нт в посесси\вной именно\й гру\ппе с автосеманти\чными имена\ми		
196	bhȁ	-bha					Animal	YA, SE	n	сущ	<*mouse (sp)>			06/Dec/2008						
197	bhā	bha				CV-M	UnboundedEvent Existence Physical	LJ, SB	v	гл	<*fructify>			22/Jan/2011						
198	bhá	'bha						LJ	pron	л.мест				29/Nov/2008	2SG.PRF	2SG.PRF	2SG.PRF			
199	bhá	'bha						LJ, GJ, SB	n	сущ	<*friend-2>			06/Dec/2008						
200	bhâ	'bha-		ɓá + ȁ	a			LJ	pron	л.мест	<*ɓá ȁ>	<*ɓá ȁ>	<*ɓá ȁ>	14/Dec/2008				стяжённая форма: субъектное перфектное местоимение 2 л. ед.ч. + несубъектное местоимение 3	a contractive form: perfect subject 2 sg. pronoun + non-subject 3 sg. pronoun	
201	bhàa	=bhaa			aa				pp	пл	<*postposition by>			07/Apr/2009						
202	bhāa	bhaa			aa		Plant	LJ, SB, CE	n	сущ				07/Apr/2009						
203	bháa	'bhaa			aa			MG, LJ, SB, CE	dtm	дтм				07/Apr/2009	certain	certain	некий			
204	bháa	'bhaa			aa			LJ	pron	л.мест				01/Oct/2008	2SG.NEG.IPFV	2SG.NEG.IPFV	2SG.NEG.IPFV			
205	bháa	'bhaa			aa			LJ	adj	прил				07/Apr/2009						
206	bháa	'bhaa			aa ~ ʌʌ		Cookery Comestible	DJ, LJ	n	сущ	<*mush-1>			28/Jul/2008						
207	bháȁ	'bhaa-												30/Jan/2011						
208	bhàabhán	=maama	[=maa 'ma]		a̰a̰	CVV-CV		LJ	v	гл				22/Jan/2011						
209	bhàan	=maa'-			a̰a̰	CVV-LNAF		GJ, LJ	v	гл				22/Jan/2011						
210	bhāan	maa-			a̰a̰		Artifact Object Instrument	LJ, SB	n	сущ				29/Nov/2008						
211	bháan	'maa			a̰a̰			LJ, EF, GJ	pron	л.мест				29/Nov/2008	1SG.NEG.IPFV	1SG.NEG.IPFV	1SG.NEG.IPFV			
212	bhȁan kʌ̄	-maa kë			a̰a̰			LJ	v	гл				22/Jan/2011						
213	bhȁazʌ̏	-bhaazë	[-bhaa -zë]		aa			LJ	adj	прил				07/Apr/2009						
214	bhȁbha	-bhabha	[-bha -bha]					DJ, --LJ	onomat	звп				23/Jan/2011						
215	bhábhɛ̏n	'bhamɛ	['bha -mɛ]		aa			LJ	n	сущ				30/Jan/2011						
216	bhȁdʌ̄	-bhadë	[-bha dë]				Animal	YA, SE, LJ	n	сущ	<*pangolin-1>			07/Apr/2009	pangolin	pangolin	панголин			
217	bhȁdhʌ́n	-manë	[-ma 'në]				Bird	KB	n	сущ				22/Aug/2007						
218	bhádhȅ	'bhadhe	['bha -dhe]					LJ, GJ	n	сущ	<camarade d'age-femme>			28/Jul/2008						
219	bhádhɛ̏	'bhadhɛ	['bha -dhɛ]					LJ, GJ, OD	n	сущ				23/Jan/2011						
220	bhȁn	-ma				CV-AF		LJ	v	гл	<*strike-2>			22/Jan/2011						
221	bhȁn	-ma					Bird	MG, LJ, BE, GJ	n	сущ	<*bird-2>			24/Oct/2008						
222	bhȁn	-ma						LJ	pron	л.мест	<*ȁ̰ ɓȁ>	<*ȁ̰ ɓȁ>	<*ȁ̰ ɓȁ>	29/Nov/2008						
