id_ms	type	trans	ortho	\trr	\smr	\tre	\sme	\trf	\smf	\src
55_2	\idi	sʌ́ʌdhɛ bɛ̀ɛ̄n yȁn	'sëëdhɛ =bɛɛn' -yan							
55_2	\ex	dhʌ́n bhʌ̄ yɤ̏ klàŋ̄ zɯ̄ dɔ̏ dʌ̏ɯ, ȁ ~ yāa kʌ̄ sʌ̏ kùn	'në bhë -yö =klang' zü -dɔ -dëü, -a 'sëëdhɛ =bɛɛn' -yan yaa kë -së =kun							
55_2	\idi	ɤ̄ wɤ̄ɤdhɛ̏ ~	ö wöödhɛ =bɛɛn'-							
55_2	\idi	pʌ̄ bɛ̀ɛ̄n pʌ̏	pë =bɛɛn' -pë							
55_2	\ex	, pʌ̄ bɛ̀ɛ̄n ȁ ká pʌ̏	, pë =bɛɛn' -a 'ka -pë							
56_1	\cbn	lɯ́ ~	'lü 'bɛi							
56_2	\cbn	kɔ́ ~	'kɔ 'bɛi							
57_1	\ex	bhɯ̄ɤ yɤ̏ n̄ ~ bhȁ n̄ pɔ̄ɔ̂ dhɛ̏ yáa dhɤ̏	bhüö -yö n -bɛn -bha n pɔɔ- -dhɛ 'yaa -dhö							
57_1	\idi	~ dhūɤ zȉan	-bɛn dhuö -zian							
57_1	\idi	~ sīâ zȉan	-bɛn sia- -zian							
57_1	\idi	~ ɤ́ plān	-bɛn 'ö plan							
57_1	\idi	~ ɤ́ kɔ̄ɔ	-bɛn 'ö kɔɔ							
57_1	\idi	~ dhȁan kán dhɛ̏	-bɛn -naa 'kan -dhɛ							
57_1	\idi	~ pɛ̀ɛ̄ dhɛ̏	-bɛn =pɛɛ' -dhɛ							
57_1	\idi	bɛ̏n kán yùā	-bɛn 'kan =yua'							
57_1	\idi	ɤ̄ ~ tó	ö -bɛn 'to							
57_1	\ex	wȍ wō ~ tó dhȁn wáa yí bhɯ̄n (và) kɤ̄ yáa bhȁ wȍ pɔ̄ɔ̂	-wo wo -bɛn 'to -na 'waa 'yi mü (=va) kö 'yaa -bha -wo pɔɔ-							
57_2	\idi	bhȁn yɤ̏ ɤ̄ bɛ̀ɛ̄n pʌ̏ dȁ dhȁn ɤ̄ dhʌ́n dhȕn dhí	-ma -yö ö =bɛɛn' -pë -da -na ö 'në -nu 'dhi							
62_0	\ex	yɤ̏ dȕ wēŋ kʌ̏ ~ ká	-yö -du weng -kë =biën 'ka							
63_0	\ex	Gī yà kwàbhɛ̏n bhȁn bhāân ká ~	Gi =ya =kwanmɛ -ma maa- 'ka -bibidhö							
65_0	\idi	~ sɛ́i	-bin 'sɛi							
65_0	\idi	bhɛ̄n ~	mɛ -bin							
65_0	\ex	bhɛ̄n ~ sɛ́i {dhɤ̄}	mɛ -bin 'sɛi {dhö}							
65_0	\idi	~ dhɛ̏	-bin -dhɛ							
65_0	\idi	ɯ̄ bhȁn ~dhɛ̏ dhȕn kʌ̄ dhȁn	ü -ma -bindhɛ -nu kë -na							
66_1	\ex	~ yà bhʌ́n	'bin =ya 'më							
66_2.2	\ex	n̄ ~ dhɛ̏ ɤ́ dhɛ̀n yɤ̏ sʌ̏ dùɤ	n 'bin -dhɛ 'ö =nɛ -yö -së =duö							
66_2.2	\idi	pʌ̄ ~ sɯ́	pë 'bin 'sü	рисова́ть						GJ, LJ
66_2.2	\idi	bhɛ̄n ~ sɯ́ bhɛ̏n	mɛ 'bin 'sü -mɛ							
68_0	\ex	lɯ́ yà bín	'lü =ya 'bin							
69_0	\ex	tánkʌ̄bhɛ̏n dhȕn wȍ dhȍ ~ ká plɤ̄ɤ	'tan kë -mɛ -nu -wo -dho 'bingatii 'ka plöö							
69_0	\idi	ɯ̄ dhȕn ~ bhȁ dùɤ	ü -nu 'bingatii -bha =duö							
73_1	\ex	dhúɛ yà yɤ̄ kɤ̄ dhɛ̏ plɛ́ yà kʌ̄ ~	'dhuɛ =ya yö kö -dhɛ 'plɛ =ya kë 'biɔnbiɔn							
74_0	\ex	â yɤ̏ píɤ ~	a- -yö 'piö 'biɔnbiɔnzë							
75_0	\ex	dhȕutīi bhȁ kɔ́ bhʌ̄ yɤ̏ ~	-dhuutii -bha 'kɔ bhë -yö 'biɔngbiɔng							
76_0	\idi	bīɤ gɛ̏n dūŋ	biö -gɛn dung							
78_0	\idi	blȁ ká	-bla 'ka							
78_0	\idi	~ sɯ́	-bla 'sü							
78_0	\ex	bhʌ̏n ~ ɯ́ {ȁ} sɯ́ dhȁn dhɛ̀n; ɯ̄ dhɤ̏ pɯ̏ɤ ō!	-më -bla 'ü {-a} 'sü -na =nɛ; ü -dhö -püö o!							
78_0	\ex	~sɯ́bhɛ̏n dhȕn wȍ dhɤ̏ ~zɯ̄dɔ̄ dhȁan ä kʌ̏ sīâ dhɛ̀n ȁ bhȁ	-blasümɛ -nu -wo -dhö -blazüdɔ -naa 'a- -kë sia- =nɛ -a -bha							
79_0	\ex	drɯ̏ŋ dhɤ́, bhɒ̀ɒ̄ dhɤ́, ȁ dɤ̄ ɤ́ tȁ ~ ɛ̀?	-drünng 'dhö, =bhaɔ' 'dhö, -a dö 'ö -ta =blaa' =ɛ?							
80_0	\ex	ȁ kʌ̄ ~, dhā dhūn dhȁn	-a kë =blaablaa, dha nu -na							
